0,統計年,區域別,年底人口數,土地面積,人口密度
145,106,高雄市湖內區,29803,20.1615,1478
146,106,高雄市茄萣區,30217,15.7624,1917
147,106,高雄市永安區,13980,22.6141,618
148,106,高雄市彌陀區,19383,14.7772,1312
149,106,高雄市梓官區,36116,11.5967,3114
150,106,高雄市旗山區,36940,94.6122,390
151,106,高雄市美濃區,39973,120.0316,333
152,106,高雄市六龜區,13016,194.1584,67
153,106,高雄市甲仙區,6107,124.034,49
154,106,高雄市杉林區,12038,104.0036,116
155,106,高雄市內門區,14540,95.6224,152
156,106,高雄市茂林區,1924,194,10
157,106,高雄市桃源區,4246,928.98,5
158,106,高雄市那瑪夏區,3125,252.9895,12
159,106,宜蘭縣宜蘭市,95918,29.408,3262
160,106,宜蘭縣羅東鎮,72319,11.3448,6375
161,106,宜蘭縣蘇澳鎮,40056,89.0196,450
162,106,宜蘭縣頭城鎮,29398,100.893,291
163,106,宜蘭縣礁溪鄉,35777,101.4278,353
164,106,宜蘭縣壯圍鄉,24250,38.4769,630
165,106,宜蘭縣員山鄉,32458,111.9106,290
166,106,宜蘭縣冬山鄉,53289,79.8573,667
167,106,宜蘭縣五結鄉,39673,38.8671,1021
168,106,宜蘭縣三星鄉,21467,144.2238,149
169,106,宜蘭縣大同鄉,6102,657.5442,9
170,106,宜蘭縣南澳鄉,5900,740.652,8
171,106,新竹縣竹北市,181955,46.8341,3885
172,106,新竹縣關西鎮,28896,125.5193,230
173,106,新竹縣新埔鎮,33415,72.1911,463
174,106,新竹縣竹東鎮,96918,53.5133,1811
175,106,新竹縣湖口鄉,77444,58.4303,1325
176,106,新竹縣橫山鄉,13064,66.3502,197
177,106,新竹縣新豐鄉,56836,46.3496,1226
178,106,新竹縣芎林鄉,20061,40.7858,492
179,106,新竹縣寶山鄉,14550,64.7871,225
180,106,新竹縣北埔鄉,9390,50.6676,185
181,106,新竹縣峨眉鄉,5538,46.801,118
182,106,新竹縣尖石鄉,9543,527.5795,18
183,106,新竹縣五峰鄉,4559,227.728,20
184,106,苗栗縣苗栗市,89165,37.8878,2353
185,106,苗栗縣頭份市,103147,53.3205,1934
186,106,苗栗縣苑裡鎮,45976,68.2473,674
187,106,苗栗縣通霄鎮,34691,107.8486,322
188,106,苗栗縣竹南鎮,85587,37.5592,2279
189,106,苗栗縣後龍鎮,36750,75.8079,485
190,106,苗栗縣卓蘭鎮,17134,76.3153,225
191,106,苗栗縣大湖鄉,14738,90.8396,162
192,106,苗栗縣公館鄉,33773,71.4523,473
193,106,苗栗縣銅鑼鄉,18138,78.3805,231
194,106,苗栗縣南庄鄉,10176,165.4938,61
195,106,苗栗縣頭屋鄉,10840,52.5046,206
196,106,苗栗縣三義鄉,16530,69.3424,238
197,106,苗栗縣西湖鄉,7154,41.0758,174
198,106,苗栗縣造橋鄉,12952,47.9978,270
199,106,苗栗縣三灣鄉,6756,52.2964,129
200,106,苗栗縣獅潭鄉,4417,79.4324,56
201,106,苗栗縣泰安鄉,5883,614.5127,10
202,106,彰化縣彰化市,233613,65.6947,3556
203,106,彰化縣員林市,124632,40.038,3113
204,106,彰化縣鹿港鎮,86799,39.4625,2200
205,106,彰化縣和美鎮,90986,39.9345,2278
206,106,彰化縣北斗鎮,33355,19.2547,1732
207,106,彰化縣溪湖鎮,55686,32.0592,1737
208,106,彰化縣田中鎮,41890,34.6056,1210
209,106,彰化縣二林鎮,50980,92.8478,549
210,106,彰化縣線西鄉,16928,18.0856,936
211,106,彰化縣伸港鄉,36957,22.3268,1655
212,106,彰化縣福興鄉,47332,49.8934,949
213,106,彰化縣秀水鄉,39357,29.3447,1341
214,106,彰化縣花壇鄉,45924,36.3469,1263
215,106,彰化縣芬園鄉,23755,38.0204,625
216,106,彰化縣大村鄉,36870,30.7837,1198
217,106,彰化縣埔鹽鄉,32587,38.6081,844
218,106,彰化縣埔心鄉,34836,20.9526,1663
219,106,彰化縣永靖鄉,37334,20.6382,1809
220,106,彰化縣社頭鄉,43144,36.1449,1194
221,106,彰化縣二水鄉,15325,29.4449,520
222,106,彰化縣田尾鄉,27462,24.0375,1142
223,106,彰化縣埤頭鄉,30642,42.7508,717
224,106,彰化縣芳苑鄉,33714,91.3827,369
225,106,彰化縣大城鄉,16987,63.7406,267
226,106,彰化縣竹塘鄉,15303,42.1662,363
227,106,彰化縣溪州鄉,30060,75.831,396
228,106,南投縣南投市,100180,71.6021,1399
229,106,南投縣埔里鎮,81033,162.2227,500
230,106,南投縣草屯鎮,97875,104.0327,941
231,106,南投縣竹山鎮,55060,247.3339,223
232,106,南投縣集集鎮,10904,49.7268,219
233,106,南投縣名間鄉,38796,83.0955,467
234,106,南投縣鹿谷鄉,17808,141.8981,125
235,106,南投縣中寮鄉,14842,146.6541,101
236,106,南投縣魚池鄉,15946,121.3735,131
237,106,南投縣國姓鄉,18803,175.7042,107
238,106,南投縣水里鄉,17803,106.8424,167
239,106,南投縣信義鄉,16253,1422.4188,11
240,106,南投縣仁愛鄉,15748,1273.5312,12
241,106,雲林縣斗六市,108567,93.7151,1158
242,106,雲林縣斗南鎮,44941,48.1505,933
243,106,雲林縣虎尾鎮,70892,68.742,1031
244,106,雲林縣西螺鎮,46244,49.7985,929
245,106,雲林縣土庫鎮,28932,49.0212,590
246,106,雲林縣北港鎮,40278,41.4999,971
247,106,雲林縣古坑鄉,31708,166.6059,190
248,106,雲林縣大埤鄉,19263,44.9973,428
249,106,雲林縣莿桐鄉,28939,50.8502,569
250,106,雲林縣林內鄉,18230,37.6035,485
251,106,雲林縣二崙鄉,27255,59.5625,458
252,106,雲林縣崙背鄉,24678,58.484,422
253,106,雲林縣麥寮鄉,45665,80.1668,570
254,106,雲林縣東勢鄉,14893,48.3562,308
255,106,雲林縣褒忠鄉,13010,37.0552,351
256,106,雲林縣臺西鄉,23954,54.0983,443
257,106,雲林縣元長鄉,25980,71.5872,363
258,106,雲林縣四湖鄉,23667,77.1189,307
259,106,雲林縣口湖鄉,27653,80.4612,344
260,106,雲林縣水林鄉,25624,72.9582,351
261,106,嘉義縣太保市,37781,66.8964,565
262,106,嘉義縣朴子市,42382,49.5737,855
263,106,嘉義縣布袋鎮,27143,61.7307,440
264,106,嘉義縣大林鎮,31198,64.1663,486
265,106,嘉義縣民雄鄉,71693,85.4969,839
266,106,嘉義縣溪口鄉,14751,33.0463,446
267,106,嘉義縣新港鄉,31935,66.0495,484
268,106,嘉義縣六腳鄉,23318,62.2619,375
269,106,嘉義縣東石鄉,24969,81.5821,306
270,106,嘉義縣義竹鄉,18486,79.2925,233
271,106,嘉義縣鹿草鄉,15577,54.3151,287
272,106,嘉義縣水上鄉,49744,69.1198,720
273,106,嘉義縣中埔鄉,44974,129.5016,347
274,106,嘉義縣竹崎鄉,35962,162.2256,222
