溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,八卦力溪,2,,,,苗栗縣,,"南庄鄉,泰安鄉",,,,,支流,,
,,,八股坑,1,,,,彰化縣,,花壇鄉,,,,,支流,,
,,,八股埤,1,,,,桃園市,,觀音區,,,,,主流,,
,,,八股排水幹線,1,,,,新竹市,,香山區,,,,鹽港溪,,縣(市)管區域排水,
,,,八堵毛溪,3,,,,花蓮縣,,秀林鄉,,,,,主流,,
,,,八堵毛溪,3,,,,花蓮縣,,花蓮市,,,,,支流,,
,,,八堵毛溪,3,,,,花蓮縣,,"花蓮市,新城鄉",,,,,主流,,
,,,八張排水支線,1,,,,新北市,,三峽區,,,,福德坑溪,,直轄市管區域排水,
,,,八連圳,2,,,,新北市,,三芝區,,,,,支流,,
,,,八連圳,2,,,,新北市,,三芝區,,,,,主流,,
,,,八連頂溪,1,,,,新北市,,三芝區,,,,,支流,,
,,,八連溪,4,Q10892431,八蓮溪,,新北市,,三芝區,,八連溪,,台灣海峽,主流,,
,,,八連溪,4,,,,新北市,,三芝區,,,,,支流,,
,,,八連溪,4,,,,新北市,,汐止區,,,,,支流,,
,,,八連溪,4,,,,新北市,,汐止區,,,,,主流,,
,,,八頂溪,1,,,,南投縣,,信義鄉,,,,,支流,,
,,,八掌溪,7,Q699075,,,嘉義縣,,"布袋鎮,義竹鄉,鹿草鄉,水上鄉,中埔鄉,番路鄉,竹崎鄉",,八掌溪,,,主流,,
,,,八掌溪,7,Q699075,,,臺南市,,"北門區,後壁區,鹽水區,白河區,學甲區",,八掌溪,,,主流,,
,,,八掌溪,7,Q699075,,,嘉義市,,"西區,東區",,八掌溪,,,主流,,
,,,八掌溪,7,,,,嘉義縣,,"中埔鄉,番路鄉,義竹鄉,鹿草鄉,竹崎鄉,布袋鎮",,,,,支流,,
,,,八掌溪,7,,,,嘉義市,,"東區,西區",,,,,支流,,
,,,八掌溪,7,,,,臺南市,,"鹽水區,後壁區,北門區",,,,,支流,,
中央管河川,,158000,八掌溪,7,,,,嘉義縣,,"義竹鄉,布袋鎮,鹿草鄉,水上鄉",,,,,,,
,,,八煙溪,1,,,,新北市,,金山區,,八煙溪,,,支流,,
,,,八寮灣圳,1,,,,苗栗縣,,大湖鄉,,,,,支流,,
,,,八邊溪,2,,,,臺東縣,,成功鎮,,,,,主流,,
,,,八邊溪,2,,,,臺東縣,,成功鎮,,,,,支流,,
,,,八寶圳河道,2,,,,臺中市,,石岡區,,大甲溪,,大甲溪,支流,,
,,,八寶圳河道,2,,,,臺中市,,石岡區,,大甲溪,,大甲溪,主流,,
,,,刀子坑溪,1,,,,,,,,,,,,,
,,,刀石坑,2,,,,臺中市,,潭子區,,,,,主流,,
,,,刀石坑,2,,,,臺中市,,潭子區,,,,,支流,,
,,,力力溪,3,Q21127227,力里溪,,屏東縣,,"新埤鄉,來義鄉,春日鄉,枋寮鄉",,林邊溪,,,主流,,
,,,力力溪,3,,,,屏東縣,,"新埤鄉,來義鄉,春日鄉",,,,,支流,,
縣市管河川,,176010,力力溪,3,,,,屏東縣,,"春日鄉,來義鄉,枋寮鄉,新埤鄉",,,,,,,
,,,力社排水幹線,1,,,,屏東縣,,崁頂鄉,,,,東港溪,,縣(市)管區域排水,
,,,十一分埤,1,,,,桃園市,,龍潭區,,,,,主流,,
,,,十一股溪排水支線,1,,,,南投縣,,魚池,,,,魚池溪排水,,縣(市)管區域排水,
,,,十七大排,1,,,,苗栗縣,,後龍鎮,,,,台灣海峽,,縣(市)管區域排水,
,,,十九份溪,2,,,,苗栗縣,,獅潭鄉,,,,,主流,,
,,,十九份溪,2,,,,苗栗縣,,獅潭鄉,,,,,支流,,
,,,十九灣排水,1,,,,高雄市,,鳥松區,,,,曹公圳,,直轄市管區域排水,
,,,十二小給線,1,,,,新北市,,三芝區,,,,,支流,,
,,,十二分坑,2,,,,花蓮縣,,壽豐鄉,,,,,支流,,
,,,十二分坑,2,,,,花蓮縣,,壽豐鄉,,,,,主流,,
,,,十二甲支線,1,,,,臺中市,,清水區,,,,清水大排,,直轄市管區域排水,
,,,十二寮大埤,1,,,,新竹縣,,峨眉鄉,,,,,主流,,
,,,十八份坑溪,4,,,,新北市,,新莊區,,,,,支流,,
,,,十八份坑溪,4,,,,桃園市,,龜山區,,,,,支流,,
,,,十八份坑溪,4,,,,新北市,,新莊區,,,,,主流,,
,,,十八份坑溪,4,,,,新北市,,泰山區,,,,,主流,,
,,,十八重溪,2,#N/A,,,南投縣,,信義鄉,,濁水溪,,,主流,,
,,,十八重溪,2,,,,南投縣,,信義鄉,,,,,支流,,
,,,十八棟排水,1,,,,雲林縣,,麥寮鄉,,,,六輕隔離水道,,縣(市)管區域排水,
,,,十八線中排,1,,,,雲林縣,,麥寮鄉,,,,海豐大排,,縣(市)管區域排水,
