溪流分級,主管機關,河川代碼,溪流名稱,"重名
數量",溪流wikiID,別名,上級,"所在縣市
（以 ,分隔）","縣市
wikidata ID","所在鄉鎮區
（以 ,分隔）",鄉鎮區wiki ID,水系,"流入水域
（wikiID)",流入,"主流
or
支流",,
,,,南澳北溪,7,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,南澳北溪,7,,,,宜蘭縣,,蘇澳鎮,,,,,,,
縣市管河川,,251020,南澳南溪,6,#N/A,,,宜蘭縣,,蘇澳鎮、南澳鄉,,南澳溪,,,,,
,,,南澳南溪,6,,,,宜蘭縣,,蘇澳鎮、南澳鄉,,南澳溪,,,,,
,,,南澳南溪,6,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,南澳南溪,6,,,,宜蘭縣,,蘇澳鎮,,,,,,,
,,,南澳南溪,6,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,南澳南溪,6,,,,宜蘭縣,,蘇澳鎮,,,,,,,
縣市管河川,,251000,南澳溪,6,Q10908662,大南澳溪,,宜蘭縣,,"南澳鄉,蘇澳鎮",,南澳溪,,,,,
,,,南澳溪,6,,,,宜蘭縣,,蘇澳鎮,,,,,,,
,,,南澳溪,6,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,南澳溪,6,,,,宜蘭縣,,南澳鄉,,,,,,,
,,,南澳溪,6,,,,宜蘭縣,,蘇澳鎮,,,,,,,
,,,南澳溪,6,,,,,,,,,,,,,
,,,南興溪,2,,,,臺東縣,,大武鄉,,,,,,,
,,,南興溪,2,,,,臺東縣,,大武鄉,,,,,,,
,,,南頭河,2,,,,高雄市,,美濃區,,,,,,,
,,,南頭河,2,,,,高雄市,,美濃區,,,,,,,
,,,南龍圳,1,,,,苗栗縣,,南庄鄉,,,,,,,
,,,南龍坑溪,1,,,,苗栗縣,,苗栗市,,,,,,,
,,,南簡排水,1,,,,臺中市,,清水區,,,,台灣海峽,,直轄市管區域排水,
,,,南邊溪,1,,,,臺中市,,南屯區,,,,筏子溪,,直轄市管區域排水,
,,,南灣溪,2,,,,新北市,,林口區,,,,,,,
,,,南灣溪,2,,,,新北市,,林口區,,,,,,,
,,,厚殼溪,2,,,,屏東縣,,車城鄉,,,,,,,
,,,厚殼溪,2,,,,屏東縣,,車城鄉,,,,,,,
,,,叛散埤,4,,,,屏東縣,,長治鄉,,,,,,,
,,,叛散埤,4,,,,屏東縣,,屏東市,,,,,,,
,,,叛散埤,4,,,,屏東縣,,長治鄉,,,,,,,
,,,叛散埤,4,,,,屏東縣,,屏東市,,,,,,,
,,,咬狗溪,1,,,,雲林縣,,斗六市,,,,石榴班溪,,縣(市)管區域排水,
,,,品田溪,1,,,,臺中市,,和平區,,大甲溪,,桃山西溪,,,
,,,哆囉固溪,1,,,,,,,,,,,,,
,,,哈尤溪,2,,,,臺東縣,,卑南鄉,,,,,,,
,,,哈尤溪,2,,,,屏東縣,,霧臺鄉,,,,隘寮北溪,,,
,,,哈盆溪,1,,,,新北市,,烏來區,,,,,,,
,,,城子埔二號圳,1,,,,臺東縣,,長濱鄉,,,,,,,
,,,城子埔溪,1,,,,,,,,,,,,,
,,,城山溪,1,,,,臺東縣,,長濱鄉,,,,,,,
縣市管河川,,232000,城埔溪,4,Q10929740,,,臺東縣,,長濱鄉,,城埔溪,,,,,
,,,城埔溪,4,,,,臺東縣,,長濱鄉,,,,,,,
,,,城埔溪,4,,,,臺東縣,,長濱鄉,,,,,,,
,,,城埔溪,4,,,,,,,,,,,,,
,,,城廓圳,1,,,,臺中市,,外埔區,,,,,,,
,,,奎輝溪,1,,,,桃園市,,復興區,,,,,,,
,,,姜子寮坑,2,,,,彰化縣,,花壇鄉,,,,,,,
,,,姜子寮坑,2,,,,彰化縣,,花壇鄉,,,,,,,
,,,姜子寮溪,2,,,,新北市,,汐止區,,,,,,,
,,,姜子寮溪,2,,,,新北市,,汐止區,,,,,,,
,,,客人坑,1,,,,南投縣,,竹山鎮,,,,,,,
,,,客人埤排水,1,,,,高雄市,,路竹區,,,,土庫排水,,直轄市管區域排水,
,,,客子厝大排,1,,,,雲林縣,,北港鎮、元長鄉,,,,北港溪,,縣(市)管區域排水,
,,,客雅南北圳,1,,,,新竹市,,香山區,,,,,,,
縣市管河川,,131000,客雅溪,10,Q10949817,,第二河川局,新竹縣,,寶山鄉,,客雅溪,,,,,
,,,客雅溪,10,,,,新竹市,,北區,,,,,,,
,,,客雅溪,10,,,,新竹市,,東區,,,,,,,
,,,客雅溪,10,,,,新竹市,,香山區,,,,,,,
,,,客雅溪,10,,,,新竹市,,香山區,,,,,,,
,,,客雅溪,10,,,,新竹市,,北區,,,,,,,
,,,客雅溪,10,,,,新竹市,,東區,,,,,,,
,,,客雅溪,10,,,,新竹縣,,寶山鄉,,,,,,,
,新竹縣寶山鄉公所,,客雅溪,10,,,,,,,,,,,,,
,,,客雅溪,10,,,,,,,,,,,,,
,,,客雅溪延平支線,1,,,,新竹市,,香山區、北區,,,,客雅溪,,縣(市)管區域排水,
,,,客雅溪排水,1,,,,"新竹縣,新竹市",,,,,,出海,,中央管區域排水,
,,,屎穴溝,2,,,,高雄市,,田寮區,,,,烏仙崙溝,,,
,,,屎穴溝,2,,,,臺南市,,龍崎區,,,,,,,
,,,屏南工業區排水,1,,,,屏東縣,,枋寮鄉,,,,台灣海峽,,縣(市)管區域排水,
,,,巷口中排四,1,,,,臺南市,,將軍區,,,,將軍溪排水,,直轄市管區域排水,
,,,巷內坑,3,,,,新北市,,貢寮區,,巷內坑,,,,,
,,,巷內坑,3,,,,新北市,,貢寮區,,,,,,,
,,,巷內坑,3,,,,新北市,,貢寮區,,,,,,,
,,,帝爺廟前排水支線,1,,,,苗栗縣,,後龍鎮,,,,九車籠排水,,縣(市)管區域排水,
,,,建和溪,3,,,,臺東縣,,卑南鄉,,,,,,,
,,,建和溪,3,,,,臺東縣,,臺東市,,,,,,,
,,,建和溪,3,,,,臺東縣,,臺東市,,,,,,,
,,,建業排水,1,,,,宜蘭縣,,宜蘭市,,,,美福排水,,縣(市)管區域排水,
,,,待人北坑,1,,,,彰化縣,,彰化市,,,,,,,
,,,後大埔溪,1,,,,嘉義縣,,阿里山鄉,,,,,,,
中央管河川,,163050,後旦溪,4,#N/A,,,臺南市,,玉井區,,曾文溪,,,,,
,,,後旦溪,4,,,,臺南市,,玉井區,,,,,,,
,,,後旦溪,4,,,,臺南市,,玉井區,,,,,,,
,,,後旦溪,4,,,,臺南市,,楠西區,,,,,,,
,,,後安大排,1,,,,雲林縣,,麥寮鄉,,,,六輕隔離水道,,縣(市)管區域排水,
,,,後庄仔埤,1,,,,桃園市,,觀音區,,,,,,,
,,,後庄直排一,1,,,,嘉義市,,東區,,,,朴子溪,,縣(市)管區域排水,
,,,後庄直排二,1,,,,嘉義市,,東區,,,,朴子溪,,縣(市)管區域排水,
,,,後庄埤,1,,,,雲林縣,,斗六市,,,,,,,
,,,後庄排水,2,,隆恩排水,,"嘉義縣,嘉義市",,,,,,八掌溪,,中央管區域排水,
,,,後庄排水,2,,,,高雄市,,仁武區,,,,仁武排水,,直轄市管區域排水,
,,,後庄排水（後庄里）,1,,,,嘉義市,,,,,,朴子溪,,縣(市)管區域排水,
,,,後池堰,2,,,,桃園市,,大溪區,,,,,,,
,,,後池堰,2,,,,桃園市,,龍潭區,,,,,,,
,,,後坑子坑,2,,,,新北市,,三芝區,,,,陳厝坑溪,,,
,,,後坑子坑,2,,,,新北市,,三芝區,,,,,,,
跨省市河川,,11402H,後坑子溪,3,#N/A,後坑溪,,新北市,,石碇區,,淡水河(新店溪),,,,,
,,,後坑子溪,3,,,,新北市,,石碇區,,,,,,,
,,,後坑子溪,3,,,,新北市,,石碇區,,,,,,,
,,,後坑仔溪,2,,,,嘉義縣,,中埔鄉,,,,,,,
,,,後坑仔溪,2,,,,嘉義縣,,中埔鄉,,,,,,,
,,,後坑溪,2,,,,新北市,,林口區,,,,,,,
,,,後坑溪,2,,,,新北市,,林口區,,,,,,,
,,,後村圳,1,,,,新北市,,新莊區,,,,,,,
縣市管河川,,169000,後勁溪,5,Q11070207,,,高雄市,,"楠梓區,仁武區,大社區",,後勁溪,,,,,
,,,後勁溪,5,,,,高雄市,,仁武區,,,,,,,
,,,後勁溪,5,,,,高雄市,,楠梓區,,,,,,,
,,,後勁溪,5,,,,高雄市,,仁武區,,,,,,,
,,,後勁溪,5,,,,,,,,,,,,,
,,,後勁溪後勁支線,2,,,,高雄市,,楠梓區,,,,,,,
,,,後勁溪後勁支線,2,,,,高雄市,,楠梓區,,,,,,,
,,,後勁溪排水,1,,,,高雄市,,仁武區,,,,台灣海峽,,直轄市管區域排水,
縣市管河川,,111000,後洲溪,2,Q16928941,,,新北市,,淡水區,,後洲溪,,,,,
,,,後洲溪,2,,,,,,,,,,,,,
,,,後厝溪,4,,,,桃園市,,大園區,,,,,,,
,,,後厝溪,4,,,,新北市,,三芝區,,,,,,,
,,,後厝溪,4,,,,桃園市,,大園區,,,,,,,
,,,後厝溪,4,,,,新北市,,淡水區,,,,,,,
,,,後堀排水,1,,,,臺南市,,大內區,,,,曾文溪,,直轄市管區域排水,
中央管河川,,163010,後堀溪,8,Q10296269,,,臺南市,,"南化區,玉井區",,曾文溪,,,,,
,,,後堀溪,8,,,,臺南市,,玉井區,,,,,,,
,,,後堀溪,8,,,,嘉義縣,,大埔鄉,,,,,,,
,,,後堀溪,8,,,,臺南市,,玉井區,,,,,,,
,,,後堀溪,8,,,,臺南市,,南化區,,,,,,,
,,,後堀溪,8,,,,臺南市,,南化區,,,,,,,
,,,後堀溪,8,,,,嘉義縣,,大埔鄉,,,,,,,
,,,後堀溪,8,,,,,,,,,,,,,
,,,後莊排水,1,,,,花蓮縣,,富里鄉,,,,拱仔溝排水,,縣(市)管區域排水,
,,,後港中排三,1,,,,臺南市,,七股區,,,,後港排水,,直轄市管區域排水,
,,,後港排水,1,,,,臺南市,,七股區,,,,大寮排水,,直轄市管區域排水,
,,,後港溪,2,,,,彰化縣,,芳苑鄉,,,,,,,
,,,後港溪,2,,,,彰化縣,,芳苑鄉,,,,,,,
,,,後湖塘(桃園大圳第十,1,,,,桃園市,,新屋區,,,,,,,
,,,後湖溪,2,,,,桃園市,,新屋區,,,,,,,
,,,後湖溪,2,,,,桃園市,,新屋區,,,,,,,
,,,後街溪,4,,,,桃園市,,蘆竹區,,,,,,,
,,,後街溪,4,,,,桃園市,,龜山區,,,,,,,
,,,後街溪,4,,,,桃園市,,龜山區,,,,,,,
,,,後街溪,4,,,,桃園市,,蘆竹區,,,,,,,
,,,後鄉排水,1,,,,高雄市,,路竹區,,,,臺灣海峽,,直轄市管區域排水,
,,,後溝子大排,1,,,,雲林縣,,大埤鄉,,,,大湖口溪,,縣(市)管區域排水,
,,,後溝尾中排,1,,,,嘉義縣,,太保市,,,,新埤排水,,縣(市)管區域排水,
,,,後慈湖,1,,,,桃園市,,大溪區,,,,,,,
,,,後寮1號排水路,1,,,,澎湖縣,,白沙鄉,,,,台灣海峽,,縣(市)管區域排水,
跨省市河川,,11402B,後寮溪,7,#N/A,,,新北市,,雙溪區,,淡水河(新店溪),,,,,
,,,後寮溪,7,,,,屏東縣,,東港鎮,,,,,,,
,,,後寮溪,7,,,,南投縣,,中寮鄉,,,,,,,
,,,後寮溪,7,,,,南投縣,,中寮鄉,,,,,,,
,,,後寮溪,7,,,,屏東縣,,東港鎮,,,,,,,
,,,後寮溪,7,,,,新北市,,雙溪區,,,,,,,
,,,後寮溪,7,,,,新北市,,雙溪區,,,,,,,
,,,後寮溪排水幹線,1,,,,南投縣,,中寮,,,,平林溪,,縣(市)管區域排水,
,,,後層坑,1,,,,臺南市,,南化區,,,,,,,
,,,後壁坑,2,,,,南投縣,,中寮鄉,,,,,,,
,,,後壁坑,2,,,,臺南市,,玉井區,,,,,,,
,,,後壁厝排水幹線,1,,,,桃園市,,蘆竹區,,,,台灣海峽,,直轄市管區域排水,
,,,後壁排水,1,,,,臺南市,,後壁區,,,,菁寮排水,,直轄市管區域排水,
,,,後壁湖漁港,1,,,,屏東縣,,恆春鎮,,,,,,,
,,,後壁溪,4,,,,臺南市,,龍崎區,,,,,,,
,,,後壁溪,4,,,,屏東縣,,高樹鄉,,,,,,,
,,,後壁溪,4,,,,臺南市,,龍崎區,,,,,,,
,,,後壁溪,4,,,,屏東縣,,高樹鄉,,,,,,,
,,,後壁溪排水幹線,1,,,,屏東縣,,高樹鄉,,,,隘寮溪,,縣(市)管區域排水,
中央管河川,第二河川局,135000,後龍溪,15,Q11070260,,,苗栗縣,,"公館鄉,苗栗市,頭屋鄉,造橋鄉,後龍鎮",,後龍溪,,,,,
,,,後龍溪,15,,,,苗栗縣,,後龍鎮,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,大湖鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,公館鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,後龍鎮,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,苗栗市,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,獅潭鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,銅鑼鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,銅鑼鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,公館鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,苗栗市,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,頭屋鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,大湖鄉,,,,,,,
,,,後龍溪,15,,,,苗栗縣,,獅潭鄉,,,,,,,
,第二河川局,,後龍溪,15,,,,,,,,,,,,,
,,,後營排水,1,,,,臺南市,,西港區、麻豆區,,,,曾文溪,,直轄市管區域排水,
,,,後鎮中排四,1,,,,嘉義縣,,義竹鄉,,,,溪墘排水,,縣(市)管區域排水,
,,,後鎮排水,2,,,,臺南市,,後壁區、新營區、鹽水區,,,,八掌溪,,直轄市管區域排水,
,,,後鎮排水,2,,,,嘉義縣,,義竹鄉,,,,新店排水,,縣(市)管區域排水,
,,,後灣港,1,,,,屏東縣,,車城鄉,,,,,,,
,,,思樣子坑,1,,,,臺南市,,大內區,,,,,,,
中央管河川,,159000,急水溪,18,Q8007897,,,臺南市,,"白河區,新營區,鹽水區,學甲區,柳營區,東山區,北門區,後壁區,六甲區,下營區",,急水溪,,,,,
,,,急水溪,18,,,,臺南市,,北門區,,,,,,,
,,,急水溪,18,,,,臺南市,,北門區,,,,,,,
,,,急水溪,18,,,,臺南市,,東山區,,,,,,,
,,,急水溪,18,,,,臺南市,,後壁區,,,,,,,
,,,急水溪,18,,,,臺南市,,柳營區,,,,,,,
,,,急水溪,18,,,,臺南市,,新營區,,,,,,,
,,,急水溪,18,,,,臺南市,,學甲區,,,,,,,
,,,急水溪,18,,,,臺南市,,鹽水區,,,,,,,
,,,急水溪,18,,,,臺南市,,鹽水區,,,,,,,
,,,急水溪,18,,,,臺南市,,學甲區,,,,,,,
,,,急水溪,18,,,,臺南市,,新營區,,,,,,,
,,,急水溪,18,,,,臺南市,,下營區,,,,,,,
,,,急水溪,18,,,,臺南市,,柳營區,,,,,,,
,,,急水溪,18,,,,臺南市,,東山區,,,,,,,
,,,急水溪,18,,,,臺南市,,後壁區,,,,,,,
,,,急水溪,18,,,,臺南市,,白河區,,,,,,,
,,,急水溪,18,,,,,,,,,,,,,
,,,急水溪排水,1,,,,臺南市,,下營區,,,,麻豆排水,,直轄市管區域排水,
,,,拜律溪,1,,,,屏東縣,,滿州鄉,,,,,,,
,,,拱子溝,2,,,,新竹縣,,關西鎮,,,,,,,
,,,拱子溝,2,,,,新竹縣,,關西鎮,,,,,,,
,,,拱子溝溪,2,,,,花蓮縣,,富里鄉,,,,,,,
,,,拱子溝溪,2,,,,花蓮縣,,富里鄉,,,,,,,
,,,拱仔溝排水,1,,,,花蓮縣,,富里鄉,,,,秀姑巒溪,,縣(市)管區域排水,
,,,拷潭大排水溝,1,,,,高雄市,,大寮區,,,,,,,
,,,拷潭排水,1,,,,高雄市,,大寮區,,,,林園排水,,直轄市管區域排水,
跨省市河川,,11402J,指南溪,3,Q16926942,,,臺北市,,文山區,,淡水河(新店溪),,,,,
,,,指南溪,3,,,,臺北市,,文山區,,,,,,,
,,,指南溪,3,,,,臺北市,,文山區,,,,,,,
,,,挖子漁港,1,,,,新北市,,貢寮區,,,,,,,
,,,施厝寮大排,1,,,,雲林縣,,麥寮鄉、崙背鄉,,,,出海口（六輕隔離水道）,,縣(市)管區域排水,
,,,春日排水,1,,,,花蓮縣,,玉里鎮,,,,秀姑巒溪,,縣(市)管區域排水,
,,,春日溪,2,,,,花蓮縣,,玉里鎮,,,,,,,
,,,春日溪,2,,,,花蓮縣,,玉里鎮,,,,,,,
,,,春牛埔大排,1,,,,雲林縣,,水林鄉,,,,牛挑灣大排,,縣(市)管區域排水,
,,,春珠排水,1,,,,嘉義縣,,太保市,,,,荷苞嶼排水,,縣(市)管區域排水,
,,,柑子林溝,2,,,,高雄市,,內門區,,,,,,,
,,,柑子林溝,2,,,,高雄市,,內門區,,,,,,,
,,,柑仔山溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,柑仔山溪,3,,,,臺東縣,,成功鎮,,,,,,,
,,,柑仔山溪,3,,,,,,,,,,,,,
,,,柑仔坑,3,,牛相觸三號坑,,南投縣,,埔里鎮,,,,,,,
,,,柑仔坑,3,,牛相觸三號坑,,,,,,,,,,,
,,,柑仔坑,3,,,,宜蘭縣,,三星鄉,,,,,,,
中央管河川,第一河川局,256019,柑仔坑溪,1,#N/A,,,宜蘭縣,,三星鄉,,蘭陽溪,,安農溪,,,
,,,柑林坑,1,,,,南投縣,,水里鄉,,,,,,,
,,,柑脚溪,1,,,,,,,,,,,,,
,,,柑腳溪,3,,,,新北市,,石碇區,,,,,,,
,,,柑腳溪,3,,,,新北市,,雙溪區,,,,,,,
,,,柑腳溪,3,,,,新北市,,雙溪區,,,,,,,
,,,柚子腳坑,1,,,,臺南市,,南化區,,,,,,,
,,,柚子頭溪,3,,,,臺南市,,白河區,,急水溪,,,,,
,,,柚子頭溪,3,,,,臺南市,,白河區,,,,,,,
,,,柚子頭溪,3,,,,臺南市,,白河區,,,,,,,
,,,柚仔坑,1,,,,臺中市,,霧峰區,,,,,,,
,,,柚仔坑溪,2,,,,臺南市,,東山區,,,,,,,
,,,柚仔坑溪,2,,,,臺南市,,東山區,,,,,,,
,,,柯子坑支線,1,,,,南投縣,,竹山鎮,,,,清水溪,,縣(市)管區域排水,
中央管河川,,130030,柯子湖溪,1,Q64358779,柯壢坑,第二河川局,新竹縣,,",新竹市",,頭前溪,,,,,
,,,柯子湖溪排水,1,,,,"新竹縣,新竹市",,,,,,頭前溪,,中央管區域排水,
,,,柯志溪,1,,,,,,,,,,,,,
,,,柯厝坑,3,,,,新北市,,泰山區,,,,,,,
,,,柯厝坑,3,,,,桃園市,,龜山區,,,,,,,
,,,柯厝坑,3,,,,新北市,,泰山區,,,,,,,
,,,柯厝坑幹線直排,1,,,,新北市,,泰山區,,,,大窠坑溪,,直轄市管區域排水,
,,,柯殼溪,3,,,,臺南市,,左鎮區,,,,,,,
,,,柯殼溪,3,,,,臺南市,,新化區,,,,,,,
,,,柯殼溪,3,,,,臺南市,,左鎮區,,,,,,,
,,,柳子溝排水路,1,,,,嘉義縣,,溪口鄉,,,,埤子頭排水路,,縣(市)管區域排水,
中央管河川,,14305D,柳川,3,Q11109617,,,臺中市,,"豐原區,潭子區,烏日區",,烏溪,,,,,
,,,柳川,3,,,,,,,,,,,,,
,,,柳川,3,,,,,,,,,,,,,
,,,柳川排水,2,,,,臺中市,,,,,,旱溪排水,,中央管區域排水,
,,,柳川排水,2,,,,臺中市,,"烏日區,北屯區",,,,旱溪排水,,直轄市管區域排水,
,,,柳仔坑,1,,,,彰化縣,,二水鄉,,,,,,,
,,,柳樹埤,1,,,,桃園市,,大溪區,,,,,,,
,,,段巷溪,2,,,,高雄市,,美濃區,,,,,,,
,,,段巷溪,2,,,,,,,,,,,,,
,,,泉水坑,2,,,,桃園市,,龍潭區,,,,,,,
,,,泉水坑,2,,,,桃園市,,龍潭區,,,,,,,
,,,泉州厝溝,2,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,泉州厝溝,2,,,,嘉義縣,,竹崎鄉,,,,,,,
,,,泉州排水支線,1,,,,彰化縣,,伸港鄉,,,,田尾排水幹線,,縣(市)管區域排水,
,,,洋子厝溪排水幹線,1,,,,彰化縣,,鹿港鎮、和美鄉、秀水鄉、彰化市、花壇鄉,,,,台灣海峽,,縣(市)管區域排水,
縣市管河川,,145000,洋仔厝溪,8,Q21041637,,,彰化縣,,"彰化市,花壇鄉,秀水鄉,和美鎮,鹿港鎮",,洋仔厝溪,,,,,
,,,洋仔厝溪,8,,,,彰化縣,,鹿港鎮,,,,,,,
,,,洋仔厝溪,8,,,,彰化縣,,鹿港鎮,,,,,,,
,,,洋仔厝溪,8,,,,彰化縣,,秀水鄉,,,,,,,
,,,洋仔厝溪,8,,,,彰化縣,,和美鎮,,,,,,,
,,,洋仔厝溪,8,,,,彰化縣,,彰化市,,,,,,,
,,,洋仔厝溪,8,,,,,,,,,,,,,
,,,洋仔厝溪,8,,,,,,,,,,,,,
,,,洗水坑,2,,,,苗栗縣,,泰安鄉,,,,,,,
,,,洗水坑,2,,,,苗栗縣,,泰安鄉,,,,,,,
,,,洗布埤,2,,,,臺南市,,六甲區,,,,,,,
,,,洗布埤,2,,,,臺南市,,六甲區,,,,,,,
縣市管河川,,212000,津林溪,2,Q11146444,,,臺東縣,,"大武鄉,達仁鄉",,津林溪,,,,,
,,,津林溪,2,,,,,,,,,,,,,
,,,洲仔中排,1,,,,雲林縣,,二崙鄉,,,,八角亭大排,,縣(市)管區域排水,
,,,洽溪,6,,,,桃園市,,大園區,,,,,,,
,,,洽溪,6,,,,桃園市,,中壢區,,,,,,,
,,,洽溪,6,,,,桃園市,,平鎮區,,,,,,,
,,,洽溪,6,,,,桃園市,,大園區,,,,,,,
,,,洽溪,6,,,,桃園市,,中壢區,,,,,,,
,,,洽溪,6,,,,桃園市,,平鎮區,,,,,,,
,,,洽溪幹線,1,,,,桃園市,,大園區、中壢區,,,,老街溪,,直轄市管區域排水,
,,,洽溪溪,1,,,,,,,,,,,,,
,,,流東溪,4,,,,新竹縣,,峨眉鄉,,,,,,,
,,,流東溪,4,,,,苗栗縣,,頭份市,,,,,,,
,,,流東溪,4,,,,新竹縣,,寶山鄉,,,,,,,
,,,流東溪,4,,,,苗栗縣,,頭份市,,,,,,,
,,,流麻溝,2,,,,,,,,,,,,,
,,,流麻溝,2,,,,,,,,,,,,,
,,,流壁下坑,1,,,,苗栗縣,,卓蘭鎮,,,,,,,
,,,流興溪,1,,,,,,,,,,,,,
,,,流藤坑溪,1,,,,臺南市,,南化區,,,,,,,
,,,流籐坑溪,1,,,,,,,,,,,,,
,,,炭坑,2,,,,彰化縣,,大村鄉,,,,,,,
,,,炭坑,2,,,,彰化縣,,大村鄉,,,,,,,
,,,炭寮坑,3,,,,臺南市,,楠西區,,,,,,,
,,,炭寮坑,3,,,,臺南市,,楠西區,,,,,,,
,,,炭寮坑,3,,,,,,,,,,,,,
,,,為隨排水,1,,,,高雄市,,岡山區,,,,土庫排水,,直轄市管區域排水,
,,,珍東坑,1,,,,臺中市,,東勢區,,大甲溪,,大甲溪,,,
,,,界橋溪,4,,,,臺東縣,,成功鎮,,,,,,,
,,,界橋溪,4,,,,臺東縣,,長濱鄉,,,,,,,
,,,界橋溪,4,,,,臺東縣,,長濱鄉,,,,,,,
,,,界橋溪,4,,,,臺東縣,,成功鎮,,,,,,,
,,,相思湖,1,,,,新竹市,,東區,,,,,,,
,,,相原溪,1,,,,,,,,,,,,,
,,,省訓團排水支線,1,,,,南投縣,,南投,,,,外轆排水,,縣(市)管區域排水,
,,,眉原溪,2,,,,南投縣,,仁愛鄉,,,,,,,
,,,眉原溪,2,,,,南投縣,,仁愛鄉,,,,,,,
中央管河川,,143030,眉溪,6,Q15945013,,,南投縣,,"埔里鎮,仁愛鄉",,烏溪,,,,,
,林務局南投處,,眉溪,6,,,,南投縣仁愛鄉,,,,烏溪,,,,,
,,,眉溪,6,,,,南投縣,,埔里鎮,,,,,,,
,,,眉溪,6,,,,南投縣,,仁愛鄉,,,,,,,
,,,眉溪,6,,,,南投縣,,埔里鎮,,,,,,,
,,,眉溪,6,,,,南投縣,,仁愛鄉,,,,,,,
,,,看西排水,1,,,,臺南市,,安定區、新市區,,,,鹽水溪排水,,直轄市管區域排水,
,,,砂仔坑溝,3,,,,臺南市,,龍崎區,,,,大平溪,,,
,,,砂仔坑溝,3,,,,臺南市,,龍崎區,,,,,,,
,,,砂仔坑溝,3,,,,臺南市,,關廟區,,,,,,,
,,,砂仔港排水,1,,礁溪,,宜蘭縣,,礁溪鄉、頭城鎮,,,,得子口溪,,縣(市)管區域排水,
,,,砂卡礑溪,3,,,,花蓮縣,,秀林鄉,,,,,,,
,,,砂卡礑溪,3,,,,花蓮縣,,秀林鄉,,,,,,,
,,,砂卡礑溪,3,,,,,,,,,,,,,
,,,砂崙河,2,,,,屏東縣,,新埤鄉,,,,,,,
,,,砂崙河,2,,,,屏東縣,,新埤鄉,,,,,,,
,,,砂溝碑支線,1,,,,苗栗縣,,苗栗市,,,,西山圳,,縣(市)管區域排水,
,林務局嘉義處,,科仔林溪,1,,,,嘉義縣阿里山鄉,,,,阿里山溪,,,,,
,,,科里排水,1,,,,臺南市,,東山區,,,,吉貝耍排水,,直轄市管區域排水,
,,,科底溪,1,,,,嘉義縣竹崎鄉,,,,朴子溪,,,,,
,,,科蘭溪,2,,,,花蓮縣,,秀林鄉,,,,,,,
,,,科蘭溪,2,,,,,,,,,,,,,
,,,穿龍圳山幹線,2,,,,苗栗縣,,公館鄉,,,,,,,
,,,穿龍圳山幹線,2,,,,苗栗縣,,公館鄉,,,,,,,
,,,穿龍圳北幹線,2,,,,苗栗縣,,公館鄉,,,,,,,
,,,穿龍圳北幹線,2,,,,苗栗縣,,公館鄉,,,,,,,
,,,穿龍圳南幹線,1,,,,苗栗縣,,公館鄉,,,,,,,
,,,竿蓁林溪,1,,,,,,,,,,,,,
,,,紅土厝埤,1,,,,桃園市,,大園區,,,,,,,
,,,紅土溪,1,,,,屏東縣,,滿州鄉,,,,,,,
,,,紅毛港,2,,,,新竹縣,,新豐鄉,,,,,,,
,,,紅毛港,2,,,,新竹縣,,新豐鄉,,,,,,,
,,,紅毛溪,1,,,,臺東縣,,成功鎮,,,,,,,
縣市管河川,,115000,紅水仙溪,5,Q16929190,水仙溪,,新北市,,"八里區,林口區",,紅水仙溪,,,,,
,,,紅水仙溪,5,,,,新北市,,八里區,,,,,,,
,,,紅水仙溪,5,,,,新北市,,八里區,,,,,,,
,,,紅水仙溪,5,,,,新北市,,林口區,,,,,,,
,,,紅水仙溪,5,,,,,,,,,,,,,
,行政院農業委員會林務局屏東林區管理處,,紅水坑溪,1,,,,,,,,,,,,,
,,,紅水瑔溪,2,,,,臺南市,,左鎮區,,,,,,,
,,,紅水瑔溪,2,,,,臺南市,,左鎮區,,,,,,,
,,,紅仔抖坑,1,,,,苗栗縣,,卓蘭鎮,,,,,,,
,,,紅仙泉坑,1,,,,臺中市,,霧峰區,,,,萬斗六坑,,,
中央管河川,,220070,紅石溪,6,#N/A,,,臺東縣,,關山鎮,,卑南溪,,,,,
,,,紅石溪,6,,,,台東,,,,卑南溪,,,,,
,,,紅石溪,6,,,,臺東縣,,海端鄉,,,,,,,
,,,紅石溪,6,,,,臺東縣,,海端鄉,,,,,,,
,,,紅石溪,6,,,,臺東縣,,關山鎮,,,,,,,
