WGS84_EP,WGS84_NP,TSP_EMI,PM_EMI,X_BLANK1,PM25_EMI,SOX_EMI,NOX_EMI,THC_EMI,NMHC_EMI,CO_EMI,PB_EMI,WGS84_E,WGS84_N,ORI_QU1,DIA,HEI,TEMP,VEL,HD1,DW1,WY1,X_BLANK7,X_BLANK10,X_BLANK11,TSP_EFF,TSP_EFF1,SOX_EFF,NOX_EFF,VOC_EFF,CO_EFF,PB_EFF,ZS
119.51,23.36,5.082,4.836,0.0,4.721,0.454,73.52199999999999,0.13899999999999998,0.094,0.0,0.002,1195.06901,233.59024999999997,326.0,1.9,65.5,1423,69.1,240,62,439,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.52,23.49,0.20400000000000001,0.194,0.0,0.189,0.006,25.863,0.028,0.022,0.0,0.0,597.60175,117.44573,10.3,0.65,19.5,300,3.9999999999999996,104,33,231,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.52,23.51,0.084,0.081,0.0,0.077,0.003,1.6360000000000001,0.0,0.0,0.0,0.0,478.07947,94.04856000000001,5.4,0.28,7.5,300,13.6,60,28,204,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.52,23.63,0.0,0.0,0.0,0.0,0.0,0.0,1.64,1.623,0.0,0.0,239.03959,47.26053,0.0,0.0,0.0,0,0.0,12,10,42,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.56,23.57,0.008,0.006,0.0,0.006,0.0,0.03,0.10500000000000001,0.092,0.008,0.0,1434.7694299999998,282.81681000000003,9.4,2.2,69.0,800,2.4000000000000004,71,68,438,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.56,23.58,0.026,0.018,0.0,0.014,0.804,0.558,0.004,0.004,0.016,0.016,836.93656,165.09308,6.5,1.2999999999999998,49.0,500,2.7,136,45,308,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.57,23.56,0.014000000000000005,0.010000000000000002,0.0,0.009000000000000001,0.002,0.08,0.077,0.065,0.022,0.0,1913.0852399999999,377.00415999999996,16.6,1.8499999999999999,260.5,1060,9.500000000000002,200,98,627,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.57,23.57,0.011000000000000003,0.009000000000000001,0.0,0.009000000000000001,0.22999999999999998,0.23899999999999996,0.673,0.506,0.028999999999999998,0.0,3467.5101600000003,683.50551,9.6,2.1,239.5,960,3.0,299,173,1007,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.58,23.55,0.068,0.05,0.0,0.038,0.002,0.319,0.002,0.002,0.096,0.0,358.75054,70.66336,67.6,0.9,69.4,218,9.2,72,17,121,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
119.58,23.56,0.009999999999999998,0.008,0.0,0.006,1.636,1.1199999999999999,0.919,0.91,0.008,0.006,1793.6563100000003,353.36978,7.3,0.5,48.5,220,2.5,163,83,447,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
